SESSION-CRYPTO FIELD TAINT V9
Parser output semantic fields established by v8: session algorithm presence/value @ +0x118/+0x11c; session key-length presence/value @ +0x120/+0x128.
Goal: find copies/consumers of this exact four-offset signature in networking code and connect it to P2P constructors.

=== CRYPTO PARSER ENTRY (confirm output pointer) 0x7c088e4-0x7c08980 ===
0x7c088e4: stp       x29, x30, [sp, #-0x60]!
  ...
  0x7bb9bf0: bl        #0x7baedac
  ...
  0x7bb9c00: bl        #0x6f9fec0
  ...
  0x7bb9c2c: bl        #0x8b35290
  ...
  0x7bba20c: ldr       w8, [x0, #0x418]
  0x7bba210: cbz       w8, #0x7bba2b8
  0x7bba214: mov       x19, x0
  0x7bba218: ldr       w8, [x0, #0x448]
  0x7bba21c: cbz       w8, #0x7bba2b8
  0x7bba220: ldr       s8, [x19, #0xac]
  0x7bba224: ldr       s10, [x19, #0x10c]
  0x7bba228: ldr       w20, [x19, #0x110]
  0x7bba22c: ldr       x23, [x19, #0x118]
  0x7bba230: ldr       w24, [x19, #0x120]
  0x7bba234: ldr       s9, [x19, #0x124]
  0x7bba238: ldr       w22, [x19, #0x128]
  0x7bba23c: ldrb      w8, [x19, #0x138]
  0x7bba240: ldr       x21, [x19, #0x130]
  0x7bba244: cbz       w8, #0x7bba2dc
  0x7bba248: ldr       x8, [x19]
  0x7bba24c: mov       x0, x19
  0x7bba250: ldr       x8, [x8, #0x80]
  0x7bba254: blr       x8
  0x7bba258: ldr       x8, [x19, #0x170]
  0x7bba25c: cmp       x0, x8
  0x7bba260: b.hs      #0x7bba2c0
  0x7bba264: ldr       x9, [x19, #0x140]
  0x7bba268: subs      x10, x0, x9
  ...
  0x7bba534: bl        #0x6f9fec0
  ...
  0x7bba53c: bl        #0x7b3f168
  ...
  0x7bba560: bl        #0x8b35290
  ...
  0x7bba59c: bl        #0x6f9fec0
  ...
  0x7bba5a4: bl        #0x7b3f168
  ...
  0x7bba5ac: bl        #0x8b352c0
  ...
  0x7bba5d0: bl        #0x8b35290

-- fn 0x7bd395c-0x7bd3f04 base=x1 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7bd3980: bl        #0x2efa4dc
  ...
  0x7bd39a0: bl        #0x7bd3ac0
  ...
  0x7bd39b4: bl        #0x7bd3f04
  ...
  0x7bd39c4: bl        #0x7bd14c0
  ...
  0x7bd39cc: bl        #0x2efa56c
  ...
  0x7bd3da8: and       x11, x13, x11
  0x7bd3dac: b         #0x7bd3dc0
  0x7bd3db0: cmp       x11, x12
  0x7bd3db4: b.lo      #0x7bd3dc0
  0x7bd3db8: udiv      x13, x11, x12
  0x7bd3dbc: msub      x11, x13, x12, x11
  0x7bd3dc0: str       x10, [x8, x11, lsl #3]
  0x7bd3dc4: stp       xzr, xzr, [x9]
  0x7bd3dc8: ldp       x8, x9, [x1, #0x118]
  0x7bd3dcc: str       xzr, [x1, #0x118]
  0x7bd3dd0: str       x8, [x0, #0x118]
  0x7bd3dd4: ldr       x11, [x1, #0x128]
  0x7bd3dd8: stp       x9, x11, [x0, #0x120]
  0x7bd3ddc: ldr       x9, [x1, #0x130]
  0x7bd3de0: str       xzr, [x1, #0x120]
  0x7bd3de4: str       x9, [x0, #0x130]
  0x7bd3de8: ldr       w10, [x1, #0x138]
  0x7bd3dec: str       w10, [x0, #0x138]
  0x7bd3df0: cbz       x9, #0x7bd3e30
  0x7bd3df4: ldr       x12, [x0, #0x120]
  0x7bd3df8: add       x10, x0, #0x128
  0x7bd3dfc: add       x9, x1, #0x128
  0x7bd3e00: ldr       x11, [x11, #8]
  0x7bd3e04: sub       x13, x12, #1
  0x7bd3e08: tst       x12, x13
  0x7bd3e0c: b.ne      #0x7bd3e18
  0x7bd3e10: and       x11, x13, x11

-- fn 0x7be34fc-0x7be4dd8 base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7be3540: bl        #0x7dc0390
  ...
  0x7be35b4: bl        #0x2f1ec94
  ...
  0x7be35c0: bl        #0x2f1ed1c
  ...
  0x7be35dc: bl        #0x7dc0390
  ...
  0x7be36ac: bl        #0x8b35330
  ...
  0x7be36bc: bl        #0x2efb614
  ...
  0x7be36d8: bl        #0x7dc06fc
  ...
  0x7be36f8: bl        #0x2efa56c
  ...
  0x7be3700: bl        #0x7be651c
  ...
  0x7be371c: bl        #0x2efc5d0
  ...
  0x7be37bc: bl        #0x7c12ca8
  0x7be37c0: mov       w8, w0
  0x7be37c4: ldr       x0, [x19, #0x110]
  0x7be37c8: mov       w9, #1
  0x7be37cc: add       x1, sp, #0x2a0
  0x7be37d0: str       w8, [sp, #0x2a8]
  0x7be37d4: strb      w9, [sp, #0x2a4]
  0x7be37d8: bl        #0x7be99b0
  0x7be37dc: ldp       x21, x20, [x19, #0x120]
  0x7be37e0: cbz       x20, #0x7be37f0
  0x7be37e4: add       x1, x20, #8
  0x7be37e8: mov       w0, #1
  0x7be37ec: bl        #0x8b34e90
  0x7be37f0: nop       
  0x7be37f4: adr       x8, #0x7be9414
  0x7be37f8: cmp       x21, #0
  0x7be37fc: csel      x8, xzr, x8, eq
  0x7be3800: cbnz      x8, #0x7be38e4
  0x7be3804: mov       w8, #1
  0x7be3808: cbz       w8, #0x7be38e4
  0x7be380c: add       x0, x19, #0x150
  0x7be3810: bl        #0x2efc42c
  ...
  0x7be3824: bl        #0x8b34e90
  ...
  0x7be3870: bl        #0x8b34e90
  ...
  0x7be3878: bl        #0x8b3abf0
  ...
  0x7be3898: bl        #0x8b34e90
  ...
  0x7be38a4: bl        #0x8b34ef0
  ...
  0x7be38b8: blr       x8
  ...
  0x7be38c0: bl        #0x8b388f0
  ...
  0x7be38c8: bl        #0x8b388f0
  ...
  0x7be38d8: csel      x8, xzr, x8, eq
  0x7be38dc: cbz       x8, #0x7be3ab4
  0x7be38e0: b         #0x7be3abc
  0x7be38e4: mov       x0, x21
  0x7be38e8: bl        #0x7bf2830
  0x7be38ec: sub       w8, w0, #3
  0x7be38f0: cmp       w8, #3
  0x7be38f4: b.hs      #0x7be3930
  0x7be38f8: ldr       x21, [x19, #0x128]
  0x7be38fc: stp       xzr, xzr, [x19, #0x120]
  0x7be3900: cbz       x21, #0x7be380c
  0x7be3904: add       x1, x21, #8
  0x7be3908: mov       x0, #-1
  0x7be390c: bl        #0x8b34ef0
  0x7be3910: cbnz      x0, #0x7be380c
  0x7be3914: ldr       x8, [x21]
  0x7be3918: mov       x0, x21
  0x7be391c: ldr       x8, [x8, #0x10]
  0x7be3920: blr       x8
  0x7be3924: mov       x0, x21
  0x7be3928: bl        #0x8b388f0
  0x7be392c: b         #0x7be380c
  ...
  0x7be3968: bl        #0x8b34e90
  ...
  0x7be3970: bl        #0x8b3abf0
  ...
  0x7be3990: bl        #0x8b34e90
  ...
  0x7be399c: bl        #0x8b34ef0
  ...
  0x7be39b0: blr       x8
  ...
  0x7be39b8: bl        #0x8b388f0
  ...
  0x7be39c0: bl        #0x8b388f0
  ...
  0x7be39cc: bl        #0x2efa56c
  ...
  0x7be39dc: bl        #0x2efa56c
  ...
  0x7be3a18: bl        #0x8b34e90
  ...
  0x7be3a20: bl        #0x8b3abf0
  ...
  0x7be3a48: bl        #0x8b34e90
  ...
  0x7be3a54: bl        #0x8b34ef0
  ...
  0x7be3a68: blr       x8
  ...
  0x7be3a70: bl        #0x8b388f0
  ...
  0x7be3a78: bl        #0x8b388f0
  ...
  0x7be3ac0: bl        #0x7c0eb38
  ...
  0x7be3ad8: bl        #0x7bf3184
  ...
  0x7be3ae0: bl        #0x7bf3470
  ...
  0x7be3af0: bl        #0x8b34ef0
  ...
  0x7be3b04: blr       x8
  ...
  0x7be3b0c: bl        #0x8b388f0
  ...
  0x7be3b1c: bl        #0x8b34ef0
  ...
  0x7be3b30: blr       x8
  ...
  0x7be3b38: bl        #0x8b388f0
  ...
  0x7be3b40: bl        #0x8b38640
  ...
  0x7be3b50: bl        #0x8b34ef0
  ...
  0x7be3b64: blr       x8
  ...
  0x7be3b6c: bl        #0x8b388f0
  ...
  0x7be3b74: bl        #0x8b38760
  ...
  0x7be3b7c: bl        #0x2efc42c
  ...
  0x7be3bb8: bl        #0x7be946c
  ...
  0x7be3bc8: bl        #0x8b38640
  ...
  0x7be3bf0: bl        #0x7c12ffc
  ...
  0x7be3bfc: bl        #0x7bbc400
  ...
  0x7be3c08: bl        #0x7bbc3cc
  ...
  0x7be3c38: bl        #0x7bbc3e8
  ...
  0x7be4344: bl        #0x2efa4dc
  ...
  0x7be4368: bl        #0x8b352f0
  ...
  0x7be4398: bl        #0x2efb614
  ...
  0x7be43a8: bl        #0x2efa56c
  ...
  0x7be4400: bl        #0x2efa4dc
  ...
  0x7be4428: bl        #0x8b352f0
  ...
  0x7be4458: bl        #0x2efb614
  ...
  0x7be4468: bl        #0x2efa56c
  ...
  0x7be44c0: bl        #0x2efa4dc
  ...
  0x7be44e4: bl        #0x8b352f0
  ...
  0x7be4510: bl        #0x2efb614
  ...
  0x7be4520: bl        #0x2efa56c
  ...
  0x7be4544: bl        #0x7be8298
  ...
  0x7be4598: bl        #0x2efa4dc
  ...
  0x7be45b8: bl        #0x8b352f0
  ...
  0x7be45c8: bl        #0x7be7de0
  ...
  0x7be45d8: bl        #0x2efa56c
  ...
  0x7be4608: bl        #0x7c975b0
  ...
  0x7be4630: bl        #0x2efa56c
  ...
  0x7be4660: bl        #0x2efa56c
  ...
  0x7be4678: bl        #0x2efa56c
  ...
  0x7be4688: bl        #0x2efa56c
  ...
  0x7be46a8: bl        #0x8b34ef0
  ...
  0x7be46bc: blr       x8
  ...
  0x7be46c4: bl        #0x8b388f0
  ...
  0x7be46e4: bl        #0x8b34ef0
  ...
  0x7be46f8: blr       x8
  ...
  0x7be4700: bl        #0x8b388f0
  ...
  0x7be4728: bl        #0x7bc2194
  ...
  0x7be473c: bl        #0x2efa56c
  ...
  0x7be4758: bl        #0x7bdc858
  ...
  0x7be4774: bl        #0x7bbb3e4
  ...
  0x7be47b0: bl        #0x7bf28a0
  ...
  0x7be4820: bl        #0x8b34ef0
  ...
  0x7be4834: blr       x8
  ...
  0x7be483c: bl        #0x8b388f0
  ...
  0x7be4844: bl        #0x7c0eb38
  ...
  0x7be4858: bl        #0x7c0d228
  ...
  0x7be4868: bl        #0x7c0f378
  ...
  0x7be4984: bl        #0x7bfb88c
  ...
  0x7be4994: ldrb      w8, [sp, #0x350]
  0x7be4998: tbnz      w8, #1, #0x7be4a60
  0x7be499c: ldr       x0, [sp, #0x2f8]
  0x7be49a0: cbz       x0, #0x7be49ac
  0x7be49a4: str       x0, [sp, #0x300]
  0x7be49a8: bl        #0x2efa56c
  0x7be49ac: add       x0, sp, #0x280
  0x7be49b0: bl        #0x7be6bec
  0x7be49b4: ldr       x20, [x19, #0x118]
  0x7be49b8: stp       xzr, xzr, [x19, #0x110]
  0x7be49bc: cbz       x20, #0x7be3750
  0x7be49c0: add       x1, x20, #8
  0x7be49c4: mov       x0, #-1
  0x7be49c8: bl        #0x8b34ef0
  0x7be49cc: cbnz      x0, #0x7be3750
  0x7be49d0: ldr       x8, [x20]
  0x7be49d4: mov       x0, x20
  0x7be49d8: ldr       x8, [x8, #0x10]
  0x7be49dc: blr       x8
  0x7be49e0: mov       x0, x20
  0x7be49e4: bl        #0x8b388f0
  ...
  0x7be4a20: bl        #0x7c0eb38
  ...
  0x7be4a30: bl        #0x7bf25f4
  ...
  0x7be4a40: bl        #0x8b34ef0
  ...
  0x7be4a54: blr       x8
  ...
  0x7be4a64: bl        #0x7be7778
  ...
  0x7be4a7c: bl        #0x2efa56c
  ...
  0x7be4a84: bl        #0x7be6bec
  ...
  0x7be4a90: bl        #0x8b382d0
  0x7be4a94: bl        #0x8b382d0
  0x7be4a98: bl        #0x8b382d0
  0x7be4a9c: bl        #0x8b382d0
  ...
  0x7be4aa8: bl        #0x8b35310
  ...
  0x7be4abc: bl        #0x7a80828
  ...
  0x7be4ad4: bl        #0x8b35240
  ...
  0x7be4ae0: bl        #0x8b35320
  ...
  0x7be4af0: bl        #0x8b35310
  ...
  0x7be4b10: bl        #0x8b35240
  ...
  0x7be4b1c: bl        #0x8b35320
  ...
  0x7be4b24: bl        #0x8b35290
  ...
  0x7be4b54: bl        #0x7bf8788
  ...
  0x7be4b80: bl        #0x2efc3dc
  ...
  0x7be4b9c: bl        #0x2efc3dc
  ...
  0x7be4ba4: bl        #0x8b35260
  ...
  0x7be4bac: bl        #0x7c122e8
  ...
  0x7be4bb8: bl        #0x8b35260
  ...
  0x7be4bf4: bl        #0x2efc3dc
  0x7be4bf8: bl        #0x2f1ec94
  ...
  0x7be4c0c: bl        #0x2f1ec94
  ...
  0x7be4c24: bl        #0x8b35260
  ...
  0x7be4c70: bl        #0x2efc580
  ...
  0x7be4c94: bl        #0x7bf6580
  ...
  0x7be4cc4: blr       x8
  ...
  0x7be4ce0: bl        #0x7bf664c
  ...
  0x7be4d10: blr       x8
  ...
  0x7be4d2c: bl        #0x7bf6c54
  ...
  0x7be4d5c: blr       x8
  ...
  0x7be4d78: bl        #0x7bf6d20
  ...
  0x7be4da8: blr       x8
  ...
  0x7be4dd4: bl        #0x8b35290

-- fn 0x7be6994-0x7be6bec base=x20 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7be6a20: bl        #0x79b2864
  ...
  0x7be6ae0: ldrb      w9, [x20, #0xe0]
  0x7be6ae4: str       w8, [x19, #0xa4]
  0x7be6ae8: ldrb      w8, [x20, #0xac]
  0x7be6aec: str       x10, [x19, #0x110]
  0x7be6af0: ldr       w10, [x20, #0xb0]
  0x7be6af4: strb      w9, [x19, #0xe0]
  0x7be6af8: ldrb      w9, [x20, #0xe1]
  0x7be6afc: strb      w8, [x19, #0xac]
  0x7be6b00: ldrb      w8, [x20, #0x118]
  0x7be6b04: str       w10, [x19, #0xb0]
  0x7be6b08: ldrb      w10, [x20, #0xb8]
  0x7be6b0c: strb      w9, [x19, #0xe1]
  0x7be6b10: ldr       w9, [x20, #0xbc]
  0x7be6b14: strb      w8, [x19, #0x118]
  0x7be6b18: ldr       x8, [x20, #0x120]
  0x7be6b1c: strb      w10, [x19, #0xb8]
  0x7be6b20: ldrb      w10, [x20, #0x128]
  0x7be6b24: str       w9, [x19, #0xbc]
  0x7be6b28: ldrb      w9, [x20, #0xc0]
  0x7be6b2c: str       x8, [x19, #0x120]
  0x7be6b30: ldr       w8, [x20, #0xc4]
  0x7be6b34: strb      w10, [x19, #0x128]
  0x7be6b38: ldr       x10, [x20, #0x130]
  0x7be6b3c: strb      w9, [x19, #0xc0]
  0x7be6b40: ldrb      w9, [x20, #0x138]
  0x7be6b44: str       w8, [x19, #0xc4]
  0x7be6b48: ldrb      w8, [x20, #0xc8]
  0x7be6b4c: str       x10, [x19, #0x130]
  0x7be6b50: ldr       w10, [x20, #0xcc]

-- fn 0x7be6994-0x7be6bec base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7be6a20: bl        #0x79b2864
  ...
  0x7be6af4: strb      w9, [x19, #0xe0]
  0x7be6af8: ldrb      w9, [x20, #0xe1]
  0x7be6afc: strb      w8, [x19, #0xac]
  0x7be6b00: ldrb      w8, [x20, #0x118]
  0x7be6b04: str       w10, [x19, #0xb0]
  0x7be6b08: ldrb      w10, [x20, #0xb8]
  0x7be6b0c: strb      w9, [x19, #0xe1]
  0x7be6b10: ldr       w9, [x20, #0xbc]
  0x7be6b14: strb      w8, [x19, #0x118]
  0x7be6b18: ldr       x8, [x20, #0x120]
  0x7be6b1c: strb      w10, [x19, #0xb8]
  0x7be6b20: ldrb      w10, [x20, #0x128]
  0x7be6b24: str       w9, [x19, #0xbc]
  0x7be6b28: ldrb      w9, [x20, #0xc0]
  0x7be6b2c: str       x8, [x19, #0x120]
  0x7be6b30: ldr       w8, [x20, #0xc4]
  0x7be6b34: strb      w10, [x19, #0x128]
  0x7be6b38: ldr       x10, [x20, #0x130]
  0x7be6b3c: strb      w9, [x19, #0xc0]
  0x7be6b40: ldrb      w9, [x20, #0x138]
  0x7be6b44: str       w8, [x19, #0xc4]
  0x7be6b48: ldrb      w8, [x20, #0xc8]
  0x7be6b4c: str       x10, [x19, #0x130]
  0x7be6b50: ldr       w10, [x20, #0xcc]
  0x7be6b54: strb      w9, [x19, #0x138]
  0x7be6b58: ldr       x9, [x20, #0x140]
  0x7be6b5c: strb      w8, [x19, #0xc8]
  0x7be6b60: ldrb      w8, [x20, #0x148]
  0x7be6b64: str       w10, [x19, #0xcc]

-- fn 0x7be6c3c-0x7be76f8 base=x20 offsets=['0x118', '0x11c', '0x120', '0x128'] --
  ...
  0x7be6cd0: bl        #0x691d118
  ...
  0x7be6ce4: bl        #0x691d118
  ...
  0x7be6e18: ldr       w9, [x20, #0x108]
  0x7be6e1c: strb      w8, [x19, #0x104]
  0x7be6e20: str       w9, [x19, #0x108]
  0x7be6e24: ldrb      w8, [x20, #0x10c]
  0x7be6e28: ldr       w9, [x20, #0x110]
  0x7be6e2c: strb      w8, [x19, #0x10c]
  0x7be6e30: str       w9, [x19, #0x110]
  0x7be6e34: ldrb      w8, [x20, #0x114]
  0x7be6e38: ldr       w9, [x20, #0x118]
  0x7be6e3c: strb      w8, [x19, #0x114]
  0x7be6e40: str       w9, [x19, #0x118]
  0x7be6e44: ldrb      w8, [x20, #0x11c]
  0x7be6e48: ldr       w9, [x20, #0x120]
  0x7be6e4c: strb      w8, [x19, #0x11c]
  0x7be6e50: str       w9, [x19, #0x120]
  0x7be6e54: ldrb      w8, [x20, #0x124]
  0x7be6e58: ldr       w9, [x20, #0x128]
  0x7be6e5c: strb      w8, [x19, #0x124]
  0x7be6e60: str       w9, [x19, #0x128]
  0x7be6e64: ldrb      w8, [x20, #0x12c]
  0x7be6e68: ldr       w9, [x20, #0x130]
  0x7be6e6c: strb      w8, [x19, #0x12c]
  0x7be6e70: str       w9, [x19, #0x130]
  0x7be6e74: ldrb      w8, [x20, #0x134]
  0x7be6e78: ldr       w9, [x20, #0x138]
  0x7be6e7c: strb      w8, [x19, #0x134]
  0x7be6e80: str       w9, [x19, #0x138]
  0x7be6e84: ldrb      w8, [x20, #0x13c]
  0x7be6e88: ldr       w9, [x20, #0x140]
  ...
  0x7be6f34: bl        #0x2efb614
  ...
  0x7be7284: bl        #0x691d118
  ...
  0x7be72fc: bl        #0x7be975c
  0x7be7300: bl        #0x7d2bf4c
  ...
  0x7be7320: bl        #0x7d36fec
  ...
  0x7be734c: bl        #0x8b35330
  ...
  0x7be735c: bl        #0x2efb614
  ...
  0x7be737c: bl        #0x7d370d4
  ...
  0x7be73b0: bl        #0x2efb614
  ...
  0x7be73e4: bl        #0x2efa56c
  ...
  0x7be73fc: bl        #0x2efa56c
  ...
  0x7be7450: bl        #0x2efa56c
  ...
  0x7be7460: bl        #0x2efa56c
  ...
  0x7be7470: bl        #0x2efa56c
  ...
  0x7be7484: bl        #0x8b35290
  ...
  0x7be74c4: bl        #0x2efa56c
  ...
  0x7be74d4: bl        #0x2efa56c
  ...
  0x7be7544: bl        #0x79b2864
  ...
  0x7be7620: bl        #0x8b34ef0
  ...
  0x7be7634: blr       x8
  ...
  0x7be763c: bl        #0x8b388f0
  ...
  0x7be7644: bl        #0x8b35260
  ...
  0x7be7650: bl        #0x7be98bc
  ...
  0x7be7658: bl        #0x8b35260
  ...
  0x7be7680: bl        #0x8b34e90
  ...
  0x7be7698: bl        #0x8b34ef0
  ...
  0x7be76ac: blr       x8
  ...
  0x7be76b4: bl        #0x8b388f0
  ...
  0x7be76c0: bl        #0x8b34ef0
  ...
  0x7be76d4: blr       x8
  ...
  0x7be76dc: bl        #0x8b388f0
  ...
  0x7be76ec: bl        #0x2efa56c

-- fn 0x7be6c3c-0x7be76f8 base=x19 offsets=['0x118', '0x11c', '0x120', '0x128'] --
  ...
  0x7be6cd0: bl        #0x691d118
  ...
  0x7be6ce4: bl        #0x691d118
  ...
  0x7be6e20: str       w9, [x19, #0x108]
  0x7be6e24: ldrb      w8, [x20, #0x10c]
  0x7be6e28: ldr       w9, [x20, #0x110]
  0x7be6e2c: strb      w8, [x19, #0x10c]
  0x7be6e30: str       w9, [x19, #0x110]
  0x7be6e34: ldrb      w8, [x20, #0x114]
  0x7be6e38: ldr       w9, [x20, #0x118]
  0x7be6e3c: strb      w8, [x19, #0x114]
  0x7be6e40: str       w9, [x19, #0x118]
  0x7be6e44: ldrb      w8, [x20, #0x11c]
  0x7be6e48: ldr       w9, [x20, #0x120]
  0x7be6e4c: strb      w8, [x19, #0x11c]
  0x7be6e50: str       w9, [x19, #0x120]
  0x7be6e54: ldrb      w8, [x20, #0x124]
  0x7be6e58: ldr       w9, [x20, #0x128]
  0x7be6e5c: strb      w8, [x19, #0x124]
  0x7be6e60: str       w9, [x19, #0x128]
  0x7be6e64: ldrb      w8, [x20, #0x12c]
  0x7be6e68: ldr       w9, [x20, #0x130]
  0x7be6e6c: strb      w8, [x19, #0x12c]
  0x7be6e70: str       w9, [x19, #0x130]
  0x7be6e74: ldrb      w8, [x20, #0x134]
  0x7be6e78: ldr       w9, [x20, #0x138]
  0x7be6e7c: strb      w8, [x19, #0x134]
  0x7be6e80: str       w9, [x19, #0x138]
  0x7be6e84: ldrb      w8, [x20, #0x13c]
  0x7be6e88: ldr       w9, [x20, #0x140]
  0x7be6e8c: strb      w8, [x19, #0x13c]
  0x7be6e90: str       w9, [x19, #0x140]
  ...
  0x7be6f34: bl        #0x2efb614
  ...
  0x7be7284: bl        #0x691d118
  ...
  0x7be72fc: bl        #0x7be975c
  0x7be7300: bl        #0x7d2bf4c
  ...
  0x7be7320: bl        #0x7d36fec
  ...
  0x7be734c: bl        #0x8b35330
  ...
  0x7be735c: bl        #0x2efb614
  ...
  0x7be737c: bl        #0x7d370d4
  ...
  0x7be73b0: bl        #0x2efb614
  ...
  0x7be73e4: bl        #0x2efa56c
  ...
  0x7be73fc: bl        #0x2efa56c
  ...
  0x7be7450: bl        #0x2efa56c
  ...
  0x7be7460: bl        #0x2efa56c
  ...
  0x7be7470: bl        #0x2efa56c
  ...
  0x7be7484: bl        #0x8b35290
  ...
  0x7be74c4: bl        #0x2efa56c
  ...
  0x7be74d4: bl        #0x2efa56c
  ...
  0x7be7544: bl        #0x79b2864
  ...
  0x7be75ec: str       w8, [sp, #0xf4]
  0x7be75f0: ldrb      w8, [x20, #0xac]
  0x7be75f4: cbz       w8, #0x7be760c
  0x7be75f8: ldrb      w8, [x20, #0xb0]
  0x7be75fc: ubfx      w9, w8, #2, #1
  0x7be7600: ubfx      w8, w8, #3, #1
  0x7be7604: strb      w9, [sp, #0xd8]
  0x7be7608: strb      w8, [sp, #0xd9]
  0x7be760c: ldr       x20, [x19, #0x118]
  0x7be7610: stp       xzr, xzr, [x19, #0x110]
  0x7be7614: cbz       x20, #0x7be7640
  0x7be7618: add       x1, x20, #8
  0x7be761c: mov       x0, #-1
  0x7be7620: bl        #0x8b34ef0
  0x7be7624: cbnz      x0, #0x7be7640
  0x7be7628: ldr       x8, [x20]
  0x7be762c: mov       x0, x20
  0x7be7630: ldr       x8, [x8, #0x10]
  0x7be7634: blr       x8
  0x7be7638: mov       x0, x20
  0x7be763c: bl        #0x8b388f0
  ...
  0x7be7644: bl        #0x8b35260
  ...
  0x7be7650: bl        #0x7be98bc
  ...
  0x7be7658: bl        #0x8b35260
  ...
  0x7be7664: mov       x21, x0
  0x7be7668: mov       x20, x0
  0x7be766c: stp       xzr, x23, [x0, #0x10]
  0x7be7670: str       x8, [x0]
  0x7be7674: mov       w0, #1
  0x7be7678: str       xzr, [x21, #8]!
  0x7be767c: mov       x1, x21
  0x7be7680: bl        #0x8b34e90
  0x7be7684: ldr       x22, [x19, #0x118]
  0x7be7688: stp       x23, x20, [x19, #0x110]
  0x7be768c: cbz       x22, #0x7be76b8
  0x7be7690: add       x1, x22, #8
  0x7be7694: mov       x0, #-1
  0x7be7698: bl        #0x8b34ef0
  0x7be769c: cbnz      x0, #0x7be76b8
  0x7be76a0: ldr       x8, [x22]
  0x7be76a4: mov       x0, x22
  0x7be76a8: ldr       x8, [x8, #0x10]
  0x7be76ac: blr       x8
  0x7be76b0: mov       x0, x22
  0x7be76b4: bl        #0x8b388f0
  ...
  0x7be76c0: bl        #0x8b34ef0
  ...
  0x7be76d4: blr       x8
  ...
  0x7be76dc: bl        #0x8b388f0
  ...
  0x7be76ec: bl        #0x2efa56c

-- fn 0x7bea7c0-0x7bedda0 base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7bea874: bl        #0x2efb614
  ...
  0x7bea888: bl        #0x7bf1890
  ...
  0x7bea8e4: add       x11, x11, #0x880
  0x7bea8e8: add       x26, x8, #0x18
  0x7bea8ec: str       w10, [x14, #0x10]!
  0x7bea8f0: add       x10, x11, #0x28
  0x7bea8f4: add       x0, x8, #0x80
  0x7bea8f8: mov       x1, x26
  0x7bea8fc: stp       x14, x13, [sp, #0x18]
  0x7bea900: add       x25, x8, #0x10
  0x7bea904: stp       xzr, x24, [x19, #0x120]
  0x7bea908: str       x10, [x19, #0x198]
  0x7bea90c: str       x11, [x19, #0x118]
  0x7bea910: str       x0, [sp, #0x38]
  0x7bea914: bl        #0x8b38590
  0x7bea918: mov       w8, #-1
  0x7bea91c: add       x9, x21, #0x50
  0x7bea920: mov       x0, x26
  0x7bea924: str       xzr, [x19, #0x220]
  0x7bea928: str       x21, [x19, #0x118]
  0x7bea92c: str       w8, [sp, #0x310]
  0x7bea930: str       x9, [x19, #0x198]
  0x7bea934: str       x24, [x19, #0x128]
  0x7bea938: str       x26, [sp, #0x30]
  0x7bea93c: bl        #0x8b385a0
  0x7bea940: adrp      x9, #0x8cc7000
  0x7bea944: add       x9, x9, #0x918
  0x7bea948: mov       w8, #0x18
  0x7bea94c: orr       x11, x23, #1
  0x7bea950: movi      v0.2d, #0000000000000000
  0x7bea954: adrp      x12, #0x8cc7000
  0x7bea958: add       x12, x12, #0x6b0
  0x7bea95c: str       x9, [x19, #0x130]
  0x7bea960: ldrb      w9, [sp, #0xb0]
  0x7bea964: str       w8, [sp, #0x278]
  ...
  0x7bea994: bl        #0x8b35330
  ...
  0x7bea9a4: bl        #0x2f2e26c
  ...
  0x7bea9b8: bl        #0x2f92e04
  ...
  0x7bea9d4: bl        #0x2f8e53c
  ...
  0x7beaa40: bl        #0x8b38590
  ...
  0x7beaa64: bl        #0x8b385a0
  ...
  0x7beaad4: bl        #0x2f2e26c
  ...
  0x7beaae0: bl        #0x8b38620
  ...
  0x7beab08: bl        #0x2efa56c
  ...
  0x7beab10: bl        #0x8b385c0
  ...
  0x7beab20: bl        #0x8b385d0
  ...
  0x7beab28: bl        #0x8b385e0
  ...
  0x7beab50: bl        #0x8b38590
  ...
  0x7beab74: bl        #0x8b385a0
  ...
  0x7beabe8: bl        #0x2f2e26c
  ...
  0x7beabf4: bl        #0x8b38620
  ...
  0x7beac1c: bl        #0x2efa56c
  ...
  0x7beac24: bl        #0x8b385c0
  ...
  0x7beac34: bl        #0x8b385d0
  ...
  0x7beac3c: bl        #0x8b385e0
  ...
  0x7beac64: bl        #0x8b38590
  ...
  0x7beac88: bl        #0x8b385a0
  ...
  0x7beacfc: bl        #0x2f2e26c
  ...
  0x7bead08: bl        #0x8b38620
  ...
  0x7bead30: bl        #0x2efa56c
  ...
  0x7bead38: bl        #0x8b385c0
  ...
  0x7bead48: bl        #0x8b385d0
  ...
  0x7bead50: bl        #0x8b385e0
  ...
  0x7bead78: bl        #0x8b38590
  ...
  0x7beada0: bl        #0x8b385a0
  ...
  0x7beae2c: bl        #0x2f2e26c
  ...
  0x7beae38: bl        #0x8b38620
  ...
  0x7beae6c: bl        #0x2efa56c
  ...
  0x7beae74: bl        #0x8b385c0
  ...
